date,cash,value,601288.SH_volume_1_x,601398.SH_volume_2,601288.SH_volume_1_y,601988.SH_volume_2,002017.SZ_volume_1,600776.SH_volume_2,002194.SZ_volume_1_x,603118.SH_volume_2_x,002463.SZ_volume_1,603118.SH_volume_2_y,600062.SH_volume_1,603367.SH_volume_2,002234.SZ_volume_1,002746.SZ_volume_2,000686.SZ_volume_1_x,002926.SZ_volume_2,000810.SZ_volume_1,002463.SZ_volume_2_x,002792.SZ_volume_1_x,603118.SH_volume_2,601988.SH_volume_1,601998.SH_volume_2,600602.SH_volume_1_x,600756.SH_volume_2,600928.SH_volume_1,601860.SH_volume_2,600602.SH_volume_1_y,603383.SH_volume_2_x,300134.SZ_volume_1,603328.SH_volume_2_x,000686.SZ_volume_1_y,000783.SZ_volume_2,600756.SH_volume_1,603383.SH_volume_2_y,600446.SH_volume_1,600602.SH_volume_2,002194.SZ_volume_1_y,002463.SZ_volume_2_y,002792.SZ_volume_1_y,603328.SH_volume_2_y,rev
2021-11-15,13700968.50926584,-3630578.017373981,0,0,1930000.0,-1643700.0,0,0,260000.0,-569500.0,290000.0,-599100.0,0,0,280000.0,-360500.0,0,0,0,0,280000.0,-516200.0,0,0,0.0,0.0,0.0,0.0,3000.0,-140000.0,250000.0,-567100.0,0.0,0.0,150000.0,-169700.0,40000.0,-3100.0,250000.0,-263900.0,280000.0,-565000.0,-4.507981753980827
2021-11-16,201742574.0610139,167353885.2956462,0,0,1930000.0,-1643700.0,0,0,260000.0,-569500.0,290000.0,-599100.0,0,0,280000.0,-360500.0,0,0,0,0,280000.0,-516200.0,0,0,0.0,0.0,0.0,0.0,3000.0,-140000.0,0.0,0.0,0.0,0.0,150000.0,-169700.0,40000.0,-3100.0,250000.0,-263900.0,280000.0,-565000.0,-47.09565873389336
2021-11-17,201742574.0610139,160527076.18861318,0,0,1930000.0,-1643700.0,0,0,260000.0,-569500.0,290000.0,-599100.0,0,0,280000.0,-360500.0,0,0,0,0,280000.0,-516200.0,0,0,0.0,0.0,0.0,0.0,3000.0,-140000.0,0.0,0.0,0.0,0.0,150000.0,-169700.0,40000.0,-3100.0,250000.0,-263900.0,280000.0,-565000.0,-0.04079265381244557
2021-11-18,201742574.0610139,158556317.66810805,0,0,1930000.0,-1643700.0,0,0,260000.0,-569500.0,290000.0,-599100.0,0,0,280000.0,-360500.0,0,0,0,0,280000.0,-516200.0,0,0,0.0,0.0,0.0,0.0,3000.0,-140000.0,0.0,0.0,0.0,0.0,150000.0,-169700.0,40000.0,-3100.0,250000.0,-263900.0,280000.0,-565000.0,-0.012276798203124106
2021-11-19,201742574.0610139,159799508.0182473,0,0,1930000.0,-1643700.0,0,0,260000.0,-569500.0,290000.0,-599100.0,0,0,280000.0,-360500.0,0,0,0,0,280000.0,-516200.0,0,0,0.0,0.0,0.0,0.0,3000.0,-140000.0,0.0,0.0,0.0,0.0,150000.0,-169700.0,40000.0,-3100.0,250000.0,-263900.0,280000.0,-565000.0,0.007840686315265799
2021-11-22,201742574.0610139,158132771.9101102,0,0,1930000.0,-1643700.0,0,0,260000.0,-569500.0,290000.0,-599100.0,0,0,280000.0,-360500.0,0,0,0,0,280000.0,-516200.0,0,0,0.0,0.0,0.0,0.0,3000.0,-140000.0,0.0,0.0,0.0,0.0,150000.0,-169700.0,40000.0,-3100.0,250000.0,-263900.0,280000.0,-565000.0,-0.010430170460517196
2021-11-23,259436831.62795708,206832289.471529,0,0,1930000.0,-1643700.0,0,0,260000.0,-569500.0,0.0,0.0,0,0,280000.0,-360500.0,0,0,0,0,280000.0,-516200.0,0,0,0.0,0.0,0.0,0.0,3000.0,-140000.0,0.0,0.0,0.0,0.0,150000.0,-169700.0,40000.0,-3100.0,250000.0,-263900.0,280000.0,-565000.0,0.3079660020700947
2021-11-24,259436831.62795708,209499004.02429745,0,0,1930000.0,-1643700.0,0,0,260000.0,-569500.0,0.0,0.0,0,0,280000.0,-360500.0,0,0,0,0,280000.0,-516200.0,0,0,0.0,0.0,0.0,0.0,3000.0,-140000.0,0.0,0.0,0.0,0.0,150000.0,-169700.0,40000.0,-3100.0,250000.0,-263900.0,280000.0,-565000.0,0.01289312495443573
2021-11-25,259436831.62795708,211744911.562208,0,0,1930000.0,-1643700.0,0,0,260000.0,-569500.0,0.0,0.0,0,0,280000.0,-360500.0,0,0,0,0,280000.0,-516200.0,0,0,0.0,0.0,0.0,0.0,3000.0,-140000.0,0.0,0.0,0.0,0.0,150000.0,-169700.0,40000.0,-3100.0,250000.0,-263900.0,280000.0,-565000.0,0.010720373341966294
2021-11-26,259436831.62795708,209775466.32549614,0,0,1930000.0,-1643700.0,0,0,260000.0,-569500.0,0.0,0.0,0,0,280000.0,-360500.0,0,0,0,0,280000.0,-516200.0,0,0,0.0,0.0,0.0,0.0,3000.0,-140000.0,0.0,0.0,0.0,0.0,150000.0,-169700.0,40000.0,-3100.0,250000.0,-263900.0,280000.0,-565000.0,-0.009301027458849975
