date,cash,value,000777.SZ_volume_1,002573.SZ_volume_2,300726.SZ_volume_1_x,600776.SH_volume_2,002936.SZ_volume_1,601577.SH_volume_2,300726.SZ_volume_1_y,603220.SH_volume_2,002234.SZ_volume_1_x,002746.SZ_volume_2,002234.SZ_volume_1_y,300761.SZ_volume_2_x,601288.SH_volume_1,601398.SH_volume_2,000795.SZ_volume_1_x,000831.SZ_volume_2,002746.SZ_volume_1,300761.SZ_volume_2_y,600446.SH_volume_1,603383.SH_volume_2,600868.SH_volume_1,601016.SH_volume_2_x,000795.SZ_volume_1_y,600259.SH_volume_2,002564.SZ_volume_1,002689.SZ_volume_2,000563.SZ_volume_1,600705.SH_volume_2,601198.SH_volume_1,601377.SH_volume_2,002057.SZ_volume_1_x,002937.SZ_volume_2,600522.SH_volume_1,601179.SH_volume_2,000862.SZ_volume_1,601016.SH_volume_2_y,300726.SZ_volume_1,603421.SH_volume_2,002057.SZ_volume_1_y,300726.SZ_volume_2,rev
2020-08-11,68199304.97162302,69988983.81801698,0,0,0,0,2500000.0,-1299900.0,0,0,200000.0,-306100.0,200000.0,-219100.0,0.0,0.0,350000.0,-181800.0,0,0,0.0,0.0,110000.0,-2119300.0,0.0,0.0,780000.0,-822000.0,130000.0,-40100.0,860000.0,-668700.0,250000.0,-499000.0,100000.0,-1665300.0,980000.0,-2634800.0,0,0,250000.0,-445300.0,0.24903699618513153
2020-08-12,68199304.97162302,92097896.85119787,0,0,0,0,2500000.0,-1299900.0,0,0,200000.0,-306100.0,200000.0,-219100.0,0.0,0.0,350000.0,-181800.0,0,0,0.0,0.0,110000.0,-2119300.0,0.0,0.0,780000.0,-822000.0,130000.0,-40100.0,860000.0,-668700.0,250000.0,-499000.0,100000.0,-1665300.0,980000.0,-2634800.0,0,0,250000.0,-445300.0,0.3158913278505051
2020-08-13,68199304.97162302,99387058.29545704,0,0,0,0,2500000.0,-1299900.0,0,0,200000.0,-306100.0,200000.0,-219100.0,0.0,0.0,350000.0,-181800.0,0,0,0.0,0.0,110000.0,-2119300.0,0.0,0.0,780000.0,-822000.0,130000.0,-40100.0,860000.0,-668700.0,250000.0,-499000.0,100000.0,-1665300.0,980000.0,-2634800.0,0,0,250000.0,-445300.0,0.07914579695599588
2020-08-14,68199304.97162302,92690462.86887592,0,0,0,0,2500000.0,-1299900.0,0,0,200000.0,-306100.0,200000.0,-219100.0,0.0,0.0,350000.0,-181800.0,0,0,0.0,0.0,110000.0,-2119300.0,0.0,0.0,780000.0,-822000.0,130000.0,-40100.0,860000.0,-668700.0,250000.0,-499000.0,100000.0,-1665300.0,980000.0,-2634800.0,0,0,250000.0,-445300.0,-0.06737894793780419
2020-08-17,68199304.97162302,74242136.46061996,0,0,0,0,2500000.0,-1299900.0,0,0,200000.0,-306100.0,200000.0,-219100.0,0.0,0.0,350000.0,-181800.0,0,0,0.0,0.0,110000.0,-2119300.0,0.0,0.0,780000.0,-822000.0,130000.0,-40100.0,860000.0,-668700.0,250000.0,-499000.0,100000.0,-1665300.0,980000.0,-2634800.0,0,0,250000.0,-445300.0,-0.19903154906404763
2020-08-18,68199304.97162302,77449591.34552193,0,0,0,0,2500000.0,-1299900.0,0,0,200000.0,-306100.0,200000.0,-219100.0,0.0,0.0,350000.0,-181800.0,0,0,0.0,0.0,110000.0,-2119300.0,0.0,0.0,780000.0,-822000.0,130000.0,-40100.0,860000.0,-668700.0,250000.0,-499000.0,100000.0,-1665300.0,980000.0,-2634800.0,0,0,250000.0,-445300.0,0.04320262101567196
2020-08-19,68199304.97162302,112716635.11370474,0,0,0,0,2500000.0,-1299900.0,0,0,200000.0,-306100.0,200000.0,-219100.0,0.0,0.0,350000.0,-181800.0,0,0,0.0,0.0,110000.0,-2119300.0,0.0,0.0,780000.0,-822000.0,130000.0,-40100.0,860000.0,-668700.0,250000.0,-499000.0,100000.0,-1665300.0,980000.0,-2634800.0,0,0,250000.0,-445300.0,0.4553548076302656
2020-08-20,121925451.72244878,160008509.86381662,0,0,0,0,2500000.0,-1299900.0,0,0,200000.0,-306100.0,0.0,0.0,0.0,0.0,350000.0,-181800.0,0,0,0.0,0.0,110000.0,-2119300.0,0.0,0.0,780000.0,-822000.0,130000.0,-40100.0,860000.0,-668700.0,250000.0,-499000.0,100000.0,-1665300.0,980000.0,-2634800.0,0,0,250000.0,-445300.0,0.41956428793678446
2020-08-21,121925451.72244878,145203367.55639762,0,0,0,0,2500000.0,-1299900.0,0,0,200000.0,-306100.0,0.0,0.0,0.0,0.0,350000.0,-181800.0,0,0,0.0,0.0,110000.0,-2119300.0,0.0,0.0,780000.0,-822000.0,130000.0,-40100.0,860000.0,-668700.0,250000.0,-499000.0,100000.0,-1665300.0,980000.0,-2634800.0,0,0,250000.0,-445300.0,-0.09252721820870446
2020-08-24,121925451.72244878,140215398.5841186,0,0,0,0,2500000.0,-1299900.0,0,0,200000.0,-306100.0,0.0,0.0,0.0,0.0,350000.0,-181800.0,0,0,0.0,0.0,110000.0,-2119300.0,0.0,0.0,780000.0,-822000.0,130000.0,-40100.0,860000.0,-668700.0,250000.0,-499000.0,100000.0,-1665300.0,980000.0,-2634800.0,0,0,250000.0,-445300.0,-0.034351606689436154
