date,cash,value,601288.SH_volume_1_x,601988.SH_volume_2_x,600022.SH_volume_1,600808.SH_volume_2_x,601398.SH_volume_1,601998.SH_volume_2_x,600231.SH_volume_1,600569.SH_volume_2,601288.SH_volume_1_y,601398.SH_volume_2,601328.SH_volume_1,601988.SH_volume_2_y,601288.SH_volume_1,601998.SH_volume_2_y,000825.SZ_volume_1,600808.SH_volume_2_y,688033.SH_volume_1,688518.SH_volume_2,000831.SZ_volume_1,600111.SH_volume_2,000505.SZ_volume_1,600073.SH_volume_2,300619.SZ_volume_1,603667.SH_volume_2,600015.SH_volume_1_x,601169.SH_volume_2,600123.SH_volume_1,601101.SH_volume_2,000898.SZ_volume_1,600808.SH_volume_2,002897.SZ_volume_1,688556.SH_volume_2_x,002110.SZ_volume_1,600782.SH_volume_2,603688.SH_volume_1,688556.SH_volume_2_y,600015.SH_volume_1_y,601229.SH_volume_2,300841.SZ_volume_1,603882.SH_volume_2,rev
2022-02-10,56401354.08637123,77410510.23184918,1940000.0,-1649100.0,960000.0,-1078200.0,1080000.0,-1323400.0,410000.0,-1227000.0,0,0,0,0,0.0,0.0,160000.0,-964100.0,310000.0,-215000.0,60000.0,-10800.0,0,0,0,0,370000.0,-596400.0,0,0,850000.0,-1217300.0,150000.0,-173400.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,1.1409794410380587
2022-02-11,56401354.08637123,74785411.4844692,1940000.0,-1649100.0,960000.0,-1078200.0,1080000.0,-1323400.0,410000.0,-1227000.0,0,0,0,0,0.0,0.0,160000.0,-964100.0,310000.0,-215000.0,60000.0,-10800.0,0,0,0,0,370000.0,-596400.0,0,0,850000.0,-1217300.0,150000.0,-173400.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,-0.033911399621545435
2022-02-14,56401354.08637123,68590576.22000128,1940000.0,-1649100.0,960000.0,-1078200.0,1080000.0,-1323400.0,410000.0,-1227000.0,0,0,0,0,0.0,0.0,160000.0,-964100.0,310000.0,-215000.0,60000.0,-10800.0,0,0,0,0,370000.0,-596400.0,0,0,850000.0,-1217300.0,150000.0,-173400.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,-0.08283480884175409
2022-02-15,87602605.43121308,40939996.66457005,1940000.0,-1649100.0,960000.0,-1078200.0,1080000.0,-1323400.0,410000.0,-1227000.0,0,0,0,0,0.0,0.0,0.0,0.0,310000.0,-215000.0,60000.0,-10800.0,0,0,0,0,370000.0,-596400.0,0,0,850000.0,-1217300.0,150000.0,-173400.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,-0.40312505127152165
2022-02-16,87602605.43121308,38453460.8726901,1940000.0,-1649100.0,960000.0,-1078200.0,1080000.0,-1323400.0,410000.0,-1227000.0,0,0,0,0,0.0,0.0,0.0,0.0,310000.0,-215000.0,60000.0,-10800.0,0,0,0,0,370000.0,-596400.0,0,0,850000.0,-1217300.0,150000.0,-173400.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,-0.06073610147681885
2022-02-17,87602605.43121308,30517402.164674062,1940000.0,-1649100.0,960000.0,-1078200.0,1080000.0,-1323400.0,410000.0,-1227000.0,0,0,0,0,0.0,0.0,0.0,0.0,310000.0,-215000.0,60000.0,-10800.0,0,0,0,0,370000.0,-596400.0,0,0,850000.0,-1217300.0,150000.0,-173400.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,-0.20638086996357397
2022-02-18,87602605.43121308,34600686.49228907,1940000.0,-1649100.0,960000.0,-1078200.0,1080000.0,-1323400.0,410000.0,-1227000.0,0,0,0,0,0.0,0.0,0.0,0.0,310000.0,-215000.0,60000.0,-10800.0,0,0,0,0,370000.0,-596400.0,0,0,850000.0,-1217300.0,150000.0,-173400.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.13380183233098641
2022-02-21,87602605.43121308,36303029.39164306,1940000.0,-1649100.0,960000.0,-1078200.0,1080000.0,-1323400.0,410000.0,-1227000.0,0,0,0,0,0.0,0.0,0.0,0.0,310000.0,-215000.0,60000.0,-10800.0,0,0,0,0,370000.0,-596400.0,0,0,850000.0,-1217300.0,150000.0,-173400.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.04919968566905086
2022-02-22,87602605.43121308,35674095.162011065,1940000.0,-1649100.0,960000.0,-1078200.0,1080000.0,-1323400.0,410000.0,-1227000.0,0,0,0,0,0.0,0.0,0.0,0.0,310000.0,-215000.0,60000.0,-10800.0,0,0,0,0,370000.0,-596400.0,0,0,850000.0,-1217300.0,150000.0,-173400.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,-0.017324566025797794
2022-02-23,87602605.43121308,32563773.120425075,1940000.0,-1649100.0,960000.0,-1078200.0,1080000.0,-1323400.0,410000.0,-1227000.0,0,0,0,0,0.0,0.0,0.0,0.0,310000.0,-215000.0,60000.0,-10800.0,0,0,0,0,370000.0,-596400.0,0,0,850000.0,-1217300.0,150000.0,-173400.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,-0.08718713193595262
