date,cash,value,002961.SZ_volume_1,603093.SH_volume_2,002957.SZ_volume_1_x,688028.SH_volume_2_x,688030.SH_volume_1,688168.SH_volume_2_x,688022.SH_volume_1,688028.SH_volume_2_y,002017.SZ_volume_1,600776.SH_volume_2,600288.SH_volume_1,600602.SH_volume_2_x,601288.SH_volume_1,601398.SH_volume_2,002628.SZ_volume_1,600528.SH_volume_2,002234.SZ_volume_1_x,300761.SZ_volume_2,002234.SZ_volume_1_y,002746.SZ_volume_2,603328.SH_volume_1,603421.SH_volume_2,002474.SZ_volume_1_x,600797.SH_volume_2,000563.SZ_volume_1,600643.SH_volume_2,600446.SH_volume_1,603383.SH_volume_2,002957.SZ_volume_1_y,688022.SH_volume_2,600088.SH_volume_1,603000.SH_volume_2,002657.SZ_volume_1,600446.SH_volume_2,688066.SH_volume_1,688168.SH_volume_2_y,002474.SZ_volume_1_y,600602.SH_volume_2_y,002436.SZ_volume_1,603005.SH_volume_2,rev
2021-01-27,51030877.70648998,-5295520850.147928,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0,0,1940000.0,-1099900.0,700000.0,-256500.0,290000.0,-317200.0,290000.0,-380400.0,490000.0,-846300.0,280000.0,-118200.0,0.0,0.0,0,0,0.0,0.0,250000.0,-142300.0,240000.0,-42800.0,0,0,300000.0,-3600.0,80000.0,-124900.0,0.0007723664801677632
2021-01-28,51030877.70648998,-5454470600.671826,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0,0,1940000.0,-1099900.0,700000.0,-256500.0,290000.0,-317200.0,290000.0,-380400.0,490000.0,-846300.0,280000.0,-118200.0,0.0,0.0,0,0,0.0,0.0,250000.0,-142300.0,240000.0,-42800.0,0,0,300000.0,-3600.0,80000.0,-124900.0,0.03001588607085881
2021-01-29,51030877.70648998,-5247733149.198944,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0,0,1940000.0,-1099900.0,700000.0,-256500.0,290000.0,-317200.0,290000.0,-380400.0,490000.0,-846300.0,280000.0,-118200.0,0.0,0.0,0,0,0.0,0.0,250000.0,-142300.0,240000.0,-42800.0,0,0,300000.0,-3600.0,80000.0,-124900.0,-0.03790238624577391
2021-02-01,51030877.70648998,-5298088504.462138,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0,0,1940000.0,-1099900.0,700000.0,-256500.0,290000.0,-317200.0,290000.0,-380400.0,490000.0,-846300.0,280000.0,-118200.0,0.0,0.0,0,0,0.0,0.0,250000.0,-142300.0,240000.0,-42800.0,0,0,300000.0,-3600.0,80000.0,-124900.0,0.009595639456415617
2021-02-02,51030877.70648998,-5322075305.099823,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0,0,1940000.0,-1099900.0,700000.0,-256500.0,290000.0,-317200.0,290000.0,-380400.0,490000.0,-846300.0,280000.0,-118200.0,0.0,0.0,0,0,0.0,0.0,250000.0,-142300.0,240000.0,-42800.0,0,0,300000.0,-3600.0,80000.0,-124900.0,0.004527444307033113
2021-02-03,51030877.70648998,-5162896193.0865965,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0,0,1940000.0,-1099900.0,700000.0,-256500.0,290000.0,-317200.0,290000.0,-380400.0,490000.0,-846300.0,280000.0,-118200.0,0.0,0.0,0,0,0.0,0.0,250000.0,-142300.0,240000.0,-42800.0,0,0,300000.0,-3600.0,80000.0,-124900.0,-0.02990921828195381
2021-02-04,51030877.70648998,-5029925767.772937,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0,0,1940000.0,-1099900.0,700000.0,-256500.0,290000.0,-317200.0,290000.0,-380400.0,490000.0,-846300.0,280000.0,-118200.0,0.0,0.0,0,0,0.0,0.0,250000.0,-142300.0,240000.0,-42800.0,0,0,300000.0,-3600.0,80000.0,-124900.0,-0.025755006558472848
2021-02-05,51030877.70648998,-4997954377.005738,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0,0,1940000.0,-1099900.0,700000.0,-256500.0,290000.0,-317200.0,290000.0,-380400.0,490000.0,-846300.0,280000.0,-118200.0,0.0,0.0,0,0,0.0,0.0,250000.0,-142300.0,240000.0,-42800.0,0,0,300000.0,-3600.0,80000.0,-124900.0,-0.00635623511027561
2021-02-08,51030877.70648998,-5070793035.434635,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0,0,1940000.0,-1099900.0,700000.0,-256500.0,290000.0,-317200.0,290000.0,-380400.0,490000.0,-846300.0,280000.0,-118200.0,0.0,0.0,0,0,0.0,0.0,250000.0,-142300.0,240000.0,-42800.0,0,0,300000.0,-3600.0,80000.0,-124900.0,0.014573694142549165
2021-02-09,51030877.70648998,-5141682041.513649,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0,0,1940000.0,-1099900.0,700000.0,-256500.0,290000.0,-317200.0,290000.0,-380400.0,490000.0,-846300.0,280000.0,-118200.0,0.0,0.0,0,0,0.0,0.0,250000.0,-142300.0,240000.0,-42800.0,0,0,300000.0,-3600.0,80000.0,-124900.0,0.013979865788968704
