date,cash,value,rev
2021-03-09,450909888.6341665,514732248.65603054,0.13206163095793633
2021-03-10,450909888.6341665,508055929.90476054,-0.012970469149158448
2021-03-11,450909888.6341665,514220543.47452044,0.01213373017989472
2021-03-12,450909888.6341665,515973742.19653237,0.0034094295614208736
2021-03-15,450909888.6341665,495814396.78336245,-0.0390704870510471
2021-03-16,450909888.6341665,497350023.2076566,0.0030971799815751044
2021-03-17,450909888.6341665,499827769.29414445,0.004981895990489038
2021-03-18,451792609.8683607,527092479.9607898,0.05454821108708807
2021-03-19,488024717.2074806,451647588.3582327,-0.1431340693917118
2021-03-22,488024717.2074806,449209622.2455037,-0.005397938958538684
2021-03-23,539146199.3414708,346944075.77460486,-0.22765662489528848
2021-03-24,539146199.3414708,356634245.3164898,0.02793006198549497
2021-03-25,539146199.3414708,363847037.15514076,0.020224619293781165
2021-03-26,539146199.3414708,352515858.13421494,-0.031142699716678823
2021-03-29,539146199.3414708,360630898.6907249,0.02302035601876473
2021-03-30,539146199.3414708,371130324.33831686,0.029114048978360563
2021-03-31,539146199.3414708,359649868.9804658,-0.030933757240989013
2021-04-01,626978311.8855743,294937752.1310732,-0.17993087842027677
2021-04-02,626978311.8855743,292342718.6325261,-0.00879858030990155
2021-04-06,626978311.8855743,288342124.53319114,-0.013684603187821054
2021-04-07,626978311.8855743,289106332.43610215,0.002650351224775749
2021-04-08,626978311.8855743,293702745.18676716,0.01589869274717781
2021-04-09,626978311.8855743,297492845.2026223,0.012904544060168721
2021-04-12,626978311.8855743,296326548.91464525,-0.003920417942094301
2021-04-13,704234039.4456375,437347372.9258003,0.475896690754412
2021-04-14,704234039.4456375,424612709.7936893,-0.029117959591063003
2021-04-15,704234039.4456375,434358887.6059875,0.022953099583461922
2021-04-16,704234039.4456375,431023361.4320603,-0.007679194023889502
2021-04-19,704234039.4456375,422585636.9296334,-0.019576025936025587
2021-04-20,704234039.4456375,429852634.63334626,0.017196508988124748
2021-04-21,704234039.4456375,429817956.2838464,-8.067497255070943e-05
2021-04-22,704234039.4456375,417368703.3279694,-0.028964013191798088
2021-04-23,704234039.4456375,416914245.25746435,-0.0010888647540683305
2021-04-26,704234039.4456375,419063244.8020614,0.00515453614032757
2021-04-27,704234039.4456375,426773532.97600645,0.018398865253828056
2021-04-28,704234039.4456375,433081644.5840544,0.014780934431570358
2021-04-29,704234039.4456375,439598817.9296724,0.015048371195406585
2021-04-30,704234039.4456375,441550121.6568754,0.004438828421770458
2021-05-06,704234039.4456375,442692509.9469784,0.002587222229305075
2021-05-07,704234039.4456375,449191377.07502836,0.01468031869079578
2021-05-10,704234039.4456375,456360880.1858444,0.01596090992997512
2021-05-11,704234039.4456375,457408850.1593224,0.002296362416189579
2021-05-12,790895217.1864214,742547868.9296633,0.6233788844947419
2021-05-13,791269489.9861705,793994633.5469204,0.06928410513306638
2021-05-14,791269489.9861705,788891952.0425435,-0.006426594448859513
2021-05-17,841223469.6433078,1059225729.8022648,0.342675289131537
2021-05-18,841223469.6433078,1060407273.9279778,0.0011154790640646173
2021-05-19,841223469.6433078,1059081978.6233405,-0.00124979839088446
2021-05-20,841223469.6433078,1059053688.4718146,-2.6711956295000228e-05
2021-05-21,841223469.6433078,1065635576.1691685,0.0062148763268568
2021-05-24,841223469.6433078,1070207134.1729167,0.004289982528719927
2021-05-25,841223469.6433078,1068000449.5333575,-0.0020619229391182214
2021-05-26,841223469.6433078,1069082329.7635437,0.0010129960438303165
2021-05-27,841808374.2077522,1045875161.6844181,-0.021707559308606794
2021-05-28,841808374.2077522,1047547450.5815291,0.0015989373860048062
2021-05-31,841808374.2077522,1038956758.109799,-0.008200766912239699
2021-06-01,841808374.2077522,1042497385.3667752,0.0034078677763429432
2021-06-02,841808374.2077522,1042664604.9199331,0.00016040285136931232
2021-06-03,841808374.2077522,1047323121.957187,0.004467896018788942
2021-06-04,860734840.0868924,1010710582.7987381,-0.034958207635127136
2021-06-07,860734840.0868924,1010198854.8601202,-0.0005063051157542242
2021-06-08,861297586.8071208,937252616.8632365,-0.07220978092178132
2021-06-09,861297586.8071208,928377342.0379347,-0.009469458570310896
2021-06-10,861297586.8071208,933623069.0017048,0.005650425453356034
2021-06-11,861297586.8071208,931364446.8505057,-0.002419201309597274
2021-06-15,861297586.8071208,937704126.9160967,0.006806873600371244
2021-06-16,861297586.8071208,936129158.2582657,-0.0016796008598263246
2021-06-17,861297586.8071208,934052915.4609816,-0.0022179020693545715
2021-06-18,862191788.316429,720822541.5438931,-0.2282851114616491
2021-06-21,862191788.316429,710526605.3260919,-0.01428359356763298
2021-06-22,862191788.316429,725969135.7201858,0.02173392280927544
2021-06-23,862191788.316429,692692638.8604178,-0.045837343796656715
2021-06-24,862191788.316429,706660507.8587657,0.020164598574812453
2021-06-25,862191788.316429,724221172.6943899,0.024850213985827985
2021-06-28,862191788.316429,710703774.4407969,-0.018664737739305548
2021-06-29,904141107.776973,839940157.8919958,0.18184282692586806
2021-06-30,904141107.776973,835562063.3988129,-0.005212388587504391
2021-07-01,975434208.593793,1124885189.7056007,0.34626168298008797
2021-07-02,975434208.593793,1126203040.3159995,0.0011715423249047952
2021-07-05,975434208.593793,1127586174.500681,0.0012281392743296315
2021-07-06,975434208.593793,1126898516.4388225,-0.0006098496748268012
2021-07-07,975434208.593793,1127245377.7952955,0.0003078017686712897
2021-07-08,975434208.593793,1132130090.0806499,0.004333317644564794
2021-07-09,1008173063.6342529,1027790731.2179148,-0.09216198719292246
2021-07-12,1008173063.6342529,1021750831.5240158,-0.005876585096989406
2021-07-13,1008173063.6342529,1021979662.2656547,0.00022395943764252912
2021-07-14,1008173063.6342529,1020214668.4941049,-0.0017270341443360593
2021-07-15,1054838190.5342547,1091974941.9285145,0.0703384058771983
2021-07-16,1054838190.5342547,1102446646.7754116,0.009589693357251683
2021-07-19,1123786034.5348954,959229493.6407378,-0.12990846636757902
2021-07-20,1123786034.5348954,920071464.9828666,-0.04082237766610741
2021-07-21,1123786034.5348954,927478042.2982987,0.008050002198003225
2021-07-22,1123786034.5348954,933051620.8230188,0.006009391350019211
2021-07-23,1123786034.5348954,945380854.4950897,0.013213881629824176
2021-07-26,1123786034.5348954,937707882.6692017,-0.0081162758790857
2021-07-27,1124423387.8632183,933799890.3969133,-0.004167600960295115
2021-07-28,1125035331.720147,909441907.339033,-0.026084799653946056
2021-07-29,1125035331.720147,895839457.25055,-0.014956920259242112
2021-07-30,1125035331.720147,894063559.161362,-0.0019823843154200826
2021-08-02,1125035331.720147,888550051.805309,-0.0061667957490905145
2021-08-03,1125035331.720147,907406685.706099,0.021221802713845994
2021-08-04,1125035331.720147,894731610.0545639,-0.013968461827754797
2021-08-05,1125258788.9582794,896830309.3238984,0.002345618781934622
2021-08-06,1125361945.5165074,881921206.4144324,-0.016624218377170652
2021-08-09,1125361945.5165074,885974203.3134954,0.004595645131996617
2021-08-10,1125539981.1525974,874449199.7423154,-0.013008283455745229
2021-08-11,1126024378.4764695,748276452.3913935,-0.1442882529803935
2021-08-12,1126024378.4764695,723281830.7248433,-0.033402924262377565
2021-08-13,1126024378.4764695,750442565.0259556,0.0375520760336161
2021-08-16,1126024378.4764695,714895474.2201815,-0.04736816974733382
2021-08-17,1126024378.4764695,756286932.9622526,0.05789861627984361
2021-08-18,1126024378.4764695,755750424.2253543,-0.000709398395655092
2021-08-19,1126024378.4764695,767931890.6698827,0.016118371957269284
2021-08-20,1126024378.4764695,770621272.4123145,0.0035021097249730015
2021-08-23,1126024378.4764695,772724098.6544665,0.00272874149394986
2021-08-24,1126024378.4764695,752984557.5412505,-0.02554539343031781
2021-08-25,1126024378.4764695,761211670.9508945,0.010926005490083712
2021-08-26,1126024378.4764695,771797702.4801165,0.013906817161641882
2021-08-27,1126024378.4764695,755080240.3013775,-0.021660419725296642
2021-08-30,1126024378.4764695,736935004.1826594,-0.024030871356765737
2021-08-31,1126024378.4764695,737044196.3219665,0.00014817065099004267
2021-09-01,1126024378.4764695,803396204.0152254,0.09002446260939556
2021-09-02,1126024378.4764695,805732561.5416025,0.002908101276431818
2021-09-03,1126024378.4764695,797240803.1691904,-0.010539177361983287
2021-09-06,1126024378.4764695,810772595.3636683,0.01697328102210327
2021-09-07,1126024378.4764695,813079603.6234286,0.002845444299613309
2021-09-08,1126024378.4764695,809777064.7145195,-0.004061765778149651
2021-09-09,1126024378.4764695,827985900.1420593,0.022486232595336775
2021-09-10,1126024378.4764695,825757935.9716203,-0.0026908238051599476
2021-09-13,1126024378.4764695,834719608.8707174,0.010852663363813075
2021-09-14,1126024378.4764695,824320065.8703215,-0.012458726127765551
2021-09-15,1126024378.4764695,808129489.4235184,-0.019641128630914717
2021-09-16,1126024378.4764695,830454824.9066805,0.02762593838654226
2021-09-17,1126024378.4764695,820188758.8276964,-0.012361980171693987
2021-09-22,1126024378.4764695,815037006.4332266,-0.0062811789835224285
2021-09-23,1126024378.4764695,802581598.4021133,-0.015282015335255417
